id,domain,severity,state,title,evidence,impact,required_action,tools_methods,acceptance_predicate
SUP-007,Supply Chain,P1,UNVERIFIED_BLOCKER,GitLab branch/tag controls не доведені repository files,"CODEOWNERS/CI exist, але protected branch, approval count, signed tags, runner isolation are server settings.",Unilateral bypass або malicious runner може publish release.,Export GitLab settings evidence; 2-person review; protected tags; isolated runners.,GitLab API/audit events; SLSA Source track,No single contributor can alter protected release without independent approval.
SUP-008,Supply Chain,P1,UNVERIFIED_BLOCKER,Немає continuous re-scan/patch SLA та KEV policy,Одноразовий build scan не доводить стан через день після release.,Нові CVE залишаються непоміченими.,"Scheduled rescans, SBOM inventory, KEV SLA, emergency rebuild/revoke.",Dependency Track/Grype/Trivy; CISA KEV feed,High/critical/KEV triage and remediation SLA measured.
SUP-009,Supply Chain,P2,UNVERIFIED_BLOCKER,Немає license/compliance inventory,"SBOM jobs є, але license policy/notice/forbidden licenses не зафіксовані.",Юридичний ризик distribution/deployment.,"License scan, approved license policy, notices.",Syft/ScanCode/FOSSA equivalent,Release має complete license report і zero forbidden components.
COD-001,Code Architecture,P1,VERIFIED_DEFECT,SqlRepository є infrastructure god object,"repository.py ≈1 289 LOC, близько 46 functions; змішує schema, CRUD, search, audit, readiness, RLS context.",Зростає change coupling і шанс неповного security fix.,"Розділити repositories/UoW: documents, versions, search, audit, health; transactional boundaries explicit.",Architecture tests; dependency-cruiser equivalent,Кожен модуль має одну responsibility; security invariants tested across UoW.
COD-002,Code Architecture,P1,VERIFIED_DEFECT,Security config validator має надмірну цикломатичну складність,"validate_security_and_calibration ≈CC 56, багато взаємозалежних modes.",Конфігураційні комбінації важко довести; typo/новий mode може fail-open.,Typed environment profiles/discriminated unions; policy table; exhaustive config tests.,Pydantic models; property-based testing,All valid/invalid profile combinations generated and checked.
COD-003,Code Architecture,P1,VERIFIED_DEFECT,Broad `except Exception` у critical paths,Є у readiness/retrieval/extraction/semantic/object-store/anchor/resilience/routes.,Різні failure causes collapse; programming bugs маскуються як dependency failure.,"Narrow exceptions, typed failure taxonomy, preserve cause, alert unexpected errors.",Ruff BLE; error budget tests,"Unexpected exception propagates to crash/alert in test, not generic safe-looking state."
COD-004,Code Architecture,P1,VERIFIED_DEFECT,Branch coverage значно нижча за statement coverage,"Measured: statements 86.72%, branches 64.78%, combined 82.34%.",Happy-path statements маскують неперевірені decision branches.,Per-module branch thresholds for security-critical code; MC/DC-inspired cases.,coverage.py branch; diff coverage,Auth/policy/ingestion/audit branches ≥90% or justified exclusions.
COD-005,Code Architecture,P1,VERIFIED_DEFECT,Mutation score 100% стосується лише 14 hand-selected mutants,MUTATION_REPORT: 14/14; це не exhaustive mutation testing.,Неперевірені предикати можуть бути слабкими попри 100%.,Run broad mutation engine by module; track equivalent mutants; risk-based mutation budget.,mutmut/cosmic-ray/custom operators,"Mutation score reported over declared operator space, survivors triaged."
COD-006,Code Architecture,P1,UNVERIFIED_BLOCKER,Немає parser/API fuzzing,"Немає Hypothesis/Atheris/libFuzzer corpus for PDF metadata, JSON, HTML, multipart, JWT, query syntax.",Crash/DoS/input edge cases невідомі.,"Coverage-guided fuzzing, property tests, regression corpus.",Atheris/Hypothesis; Schemathesis; OSS-Fuzz style,No crash/hang/leak in defined CPU-hour budget; all findings regression-tested.
COD-007,Code Architecture,P2,VERIFIED_DEFECT,mypy і Ruff policies слабкі для critical system,mypy ignore_missing_imports=true; Ruff selects limited rules.,Integration types/security smells проходять непомічено.,"Strict typing by module, stubs/protocols, broader Ruff/security rules.",mypy strict/pyright; Ruff S/C90/BLE/ASYNC,Zero unexplained Any at trust boundaries; complexity budgets enforced.
COD-008,Code Architecture,P2,VERIFIED_DEFECT,Web lint/typecheck є лише asset-existence validator,package scripts lint/typecheck обидва запускають validate.mjs; JS type semantics не перевіряються.,UI auth/security regressions не ловляться.,"TypeScript, ESLint, DOM/unit/E2E tests, CSP tests.",TypeScript/ESLint/Vitest/Playwright,OIDC/error/accessibility flows covered; real typecheck compiles.
COD-009,Code Architecture,P2,VERIFIED_DEFECT,Критичні модулі мають низьке покриття,"cli 0%, semantic ≈40.7%, extraction ≈68%, auth ≈72%, OIDC ≈77%.",Саме integration/security/error paths найменше перевірені.,"Raise targeted branch/mutation/failure-mode coverage, not aggregate only.",coverage/mutation/fault injection,Per-risk module gates pass and no aggregate masking.
COD-010,Code Architecture,P2,UNVERIFIED_BLOCKER,Немає API compatibility/consumer contract suite,"JSON schemas є частково, але немає OpenAPI diff, backward compatibility, generated-client tests.",Release ламає UI/інтеграції непомітно.,"OpenAPI freeze/diff, consumer-driven contracts, version/deprecation policy.",oasdiff/Schemathesis/Pact,Breaking change requires major version and migration evidence.
WEB-001,Product Surface,P1,VERIFIED_DEFECT,UI покриває лише запит-відповідь,"Немає production auth, ingestion, quarantine, review, approval, audit, corpus/version administration.","Операційні процеси виконуються API/manual, що підвищує помилки й обходи.","Role-specific consoles with safe workflows, validation, reason codes, audit previews.",Typed web app; E2E role tests,All critical workflows executable without raw DB/API manipulation.
WEB-002,Product Surface,P2,UNVERIFIED_BLOCKER,Немає accessibility/usability evidence,"ARIA мінімальний; немає WCAG audit, keyboard/screen-reader tests, field error semantics.",Частина користувачів не може надійно експлуатувати систему.,"WCAG 2.2 AA audit, keyboard/screen-reader, cognitive load tests.",axe-core/Playwright; manual AT testing,Zero critical a11y defects; operational tasks pass usability tests.
AUD-001,Audit & Cryptography,P1,VERIFIED_DEFECT,Audit HMAC key доступний application process,Той самий процес генерує events і MAC. При full app compromise attacker може forge future history.,Tamper evidence не захищає від повного compromise trust domain.,Asymmetric signing/HSM or external append-only log; split duties.,HSM/KMS; transparency log; trusted timestamp,Application cannot mint valid historical witness alone.
AUD-002,Audit & Cryptography,P1,VERIFIED_DEFECT,Remote anchor protocol custom HTTP/HMAC,"Немає стандартного transparency proof, asymmetric identity, external timestamp, multi-witness.",Anchor service/operator compromise зменшує гарантії.,Use signed append-only log / independent witnesses; key rotation and inclusion proofs.,Sigstore/Rekor-like; RFC3161 timestamp,Offline verifier detects fork/truncation with independently trusted keys.
AUD-003,Audit & Cryptography,P1,UNVERIFIED_BLOCKER,Key rotation/recovery ceremony не доведена,"Немає live procedure for audit/backup/OIDC/service key rollover, compromise, re-encryption.",Rotation може зламати verification або лишити compromised key valid.,"Versioned key IDs, dual validation window, revocation, ceremony and drill.",KMS/HSM; runbooks,Rotation and compromised-key drill preserve verifiability and availability.
AUD-004,Audit & Cryptography,P1,UNVERIFIED_BLOCKER,Немає SIEM export/correlation/retention,Audit chain локальна; durable security analytics and alert rules not demonstrated.,Атаки виявляються запізно; forensic context розпорошений.,Structured signed audit export to SIEM; correlation with IdP/network/deploy logs.,SIEM; OTel logs; pgaudit,Defined attack simulations trigger alerts with complete timeline.
DATA-001,Data Lifecycle,P0,UNVERIFIED_BLOCKER,Немає enforceable retention/deletion/legal-hold policy,"Object lock retention є config, але corpus-specific lifecycle, deletion, legal hold, declassification не реалізовані end-to-end.",Незаконне довічне зберігання або передчасне видалення доказів.,Lifecycle state machine per data class; legal hold; cryptographic erasure; audit.,S3 lifecycle/KMS; policy engine,Automated tests prove retain/delete/hold/declassify behavior.
DATA-002,Data Lifecycle,P1,UNVERIFIED_BLOCKER,Немає field-level privacy/minimization assessment,Документи можуть містити персональні/операційні дані; немає PII detection/redaction workflow.,Sensitive data індексується/цитується понад потребу.,"PII/secret scanning, redaction versions, purpose limitation, disclosure review.",DLP/NER; redaction tooling,Known sensitive fixtures never appear in unauthorized retrieval/output/logs.
DATA-003,Data Lifecycle,P1,UNVERIFIED_BLOCKER,Немає immutable corpus release manifest підписаного data owner,"Code release має manifest, але corpus release authority/signature/process не доведені.","Неможливо довести точний набір документів, що породив відповідь.","Signed corpus manifest: object/version hashes, policies, calibration, approvals.",in-toto/cosign; corpus registry,Every answer resolves to signed corpus release accepted by data owner.
DATA-004,Data Lifecycle,P1,UNVERIFIED_BLOCKER,Немає continuous inventory/reconciliation object store↔DB↔index,Orphans/stale vectors/missing objects можуть виникнути; formal reconciliation job не доведений.,Silent incompleteness або data residue.,Scheduled bidirectional reconciliation with repair/quarantine and alerts.,Inventory jobs; checksums; pg queries,Zero unexplained divergence; injected drift detected within SLA.
OPS-001,Delivery Process,P2,UNVERIFIED_BLOCKER,Немає доказу reproducible container build,"Source ZIP deterministic-ish, але container bit-for-bit rebuild або reproducibility variance не виміряні.",Build environment може неявно змінювати artifact.,Rebuild on independent runner; compare digest; record allowed nondeterminism.,reproducible-build tooling; diffoscope,Two independent builds yield identical digest or explained signed variance.
OPS-002,Delivery Process,P2,VERIFIED_DEFECT,CI retry може приховувати flaky infrastructure behavior,default retry=1 for runner timeout/system failure; flakiness metrics absent.,Нестабільність маскується повторним PASS.,"Record retry count, fail on test retry, flake dashboard/quarantine policy.",GitLab analytics; pytest-rerun only diagnostic,Release has zero unexplained flaky tests over defined window.
OPS-003,Delivery Process,P2,UNVERIFIED_BLOCKER,Немає release evidence retention policy,GitLab package artifacts expire in 30 days; long-term audit archive not demonstrated.,Пізніше неможливо відтворити evidence release.,Immutable long-term evidence registry with retention aligned to system lifetime.,Artifact registry/WORM,Every production release evidence retrievable and verified years later.
OPS-004,Delivery Process,P2,UNVERIFIED_BLOCKER,Немає environment drift detection,No evidence of desired-state vs live infrastructure reconciliation.,Manual changes bypass reviewed configuration.,"GitOps/IaC drift detection, admission policy, periodic attestation.",Terraform plan/OPA/Kyverno/GitOps,Unauthorized drift detected and reverted/blocked.
OPS-005,Delivery Process,P2,UNVERIFIED_BLOCKER,Немає cost/capacity governance,API/OCR/embedding/storage costs and quotas are not modeled/alerted.,Resource abuse або неконтрольована вартість.,"Per-tenant quotas, cost attribution, budget alerts, rate policy.",FinOps metrics; quota service,Cost per ingest/query measured; budget breach triggers safe throttling.
